steering,acceleration,sensor_hit_0,sensor_hit_1,sensor_hit_2,sensor_hit_3,sensor_hit_4,sensor_hit_5,sensor_hit_6,sensor_hit_7,sensor_hit_8,sensor_hit_distance_0,sensor_hit_distance_1,sensor_hit_distance_2,sensor_hit_distance_3,sensor_hit_distance_4,sensor_hit_distance_5,sensor_hit_distance_6,sensor_hit_distance_7,sensor_hit_distance_8,velocity
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.318570137,5.312677383,4.771671295,10,5.333258629,4.447319031,6.334424496,6.770424366,3.392066956
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.28633976,5.30540514,4.772803783,10,5.34324789,4.447930336,6.318769455,6.797916412,3.392066956
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.267009735,5.301034451,4.773498058,10,5.349332333,4.448326111,6.309374809,6.814650536,3.392066956
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.247187614,5.296550751,4.774224281,10,5.355636597,4.448751926,6.299729347,6.832009792,3.392066956
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.218288422,5.289081573,4.774407864,10,5.365945339,4.450297356,6.284808636,6.858219147,3.545082808
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.152376175,5.270772934,4.773715019,10,5.391382217,4.455196857,6.249603271,6.920371532,3.545082808
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.109585762,5.258870602,4.773361206,10,5.408363342,4.458508015,6.226709366,6.962022781,3.545082808
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.072577477,5.248558521,4.773105145,10,5.423365116,4.46146822,6.206881046,6.998907566,3.545082808
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.020215988,5.233509064,4.772545338,10,5.44563818,4.466132164,6.17832756,7.05287838,3.724212885
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.935331345,5.208843708,4.771721363,10,5.483370304,4.474267006,6.13172102,7.144325256,3.724212885
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.881010532,5.193027496,4.771365166,10,5.508457661,4.479745388,6.101828098,7.206650257,3.724212885
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.56935215,5.111752033,4.775200367,10,5.652200222,4.509830952,5.943295479,7.628295898,4.223155975
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.63530302,5.133080482,4.768377781,10,5.608508587,4.504194736,5.982934952,7.539553642,4.539538383
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.736353397,5.164410591,4.762341022,10,5.550568104,4.495431423,6.043720722,7.392044544,4.539538383
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.81388855,5.187887192,4.759005547,10,5.510235786,4.489301682,6.08922863,7.28800106,4.698972702
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,7.920593262,5.22008276,4.755280018,10,5.458337784,4.481797695,6.151546001,7.155395985,4.698972702
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.017151833,5.248936653,4.752966881,10,5.414953709,4.47567749,6.207293987,7.044697762,4.850847721
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.169573784,5.294188499,4.75063467,10,5.351946354,4.467381001,6.294653893,6.885377407,4.850847721
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.29961586,5.332597733,4.749958038,10,5.302767277,4.461276054,6.368632317,6.762283325,5.009905815
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.628931046,5.439612865,4.752874374,10,5.182609558,4.448225975,6.56170845,6.480388641,5.161519051
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.839903831,5.508723736,4.758646488,10,5.115617752,4.441443443,6.679965973,6.329872608,5.161519051
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.017910004,5.566407204,4.764571667,10,5.064829826,4.437295914,6.778947353,6.216609955,5.161519051
0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.207600594,5.628543377,4.77199316,9.681632996,5.012917519,4.434341908,6.889280319,6.102106571,5.311562061
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.419435501,5.700172901,4.781965733,9.143505096,4.957102776,4.432626724,7.020499706,5.979877949,5.457277298
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.723052979,5.802142143,4.800508976,8.562281609,4.886078358,4.429740906,7.198943138,5.826957703,5.457277298
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.980327606,5.888785362,4.818060875,8.195156097,4.832262516,4.428656578,7.340988636,5.713274956,5.608874321
-1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.007236958,4.845656395,7.776587486,4.765724659,4.426721573,7.534536839,5.581897736,5.608874321
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.092521191,4.865604877,7.536299706,4.723147392,4.427881718,7.67484808,5.497252941,5.73952055
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.188441277,4.888512135,7.290043354,4.678486824,4.432768822,7.841410637,5.406980991,5.73952055
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.248857021,4.904603958,7.140584469,4.650477886,4.437078476,7.94384861,5.350340843,5.884873867
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.318138123,4.923502922,6.985013962,4.620528698,4.442962646,8.058841705,5.289693832,5.884873867
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.35950613,4.935687542,6.90119791,4.602965355,4.446260452,8.125973701,5.254954338,6.009476185
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.40679884,4.950119495,6.812107563,4.583468914,4.450044632,8.202027321,5.216776848,6.009476185
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.42630434,4.95786047,6.781341553,4.573919773,4.449951172,8.22985363,5.200195789,6.128053188
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.448885441,4.967402935,6.748147964,4.56250906,4.44935894,8.260929108,5.180953979,6.236070633
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.447834015,4.972049236,6.762360573,4.557801723,4.444372177,8.248897552,5.177772522,6.236070633
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.448595524,4.976881027,6.77124548,4.55287838,4.43934536,8.241381645,5.173810005,6.325478077
0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.454996586,4.987017632,6.774608612,4.54248333,4.429209232,8.238559723,5.16381073,6.325478077
1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,6.449705601,4.99220705,6.797254086,4.537768364,4.420362473,8.218307495,5.163997173,6.451978207
